SVPREC_KEY,factor_1,factor_2,cppi,cppi_unstd,fips,iwar_x,iwar_y
0609529560,0.49990432143537866,0.4413701626153266,0.5624105200877608,0.9412744840507052,06095,-29.555336726251813,-29.555336726251813
0609527020,0.9185262450745775,1.139043963378514,0.6416696847776857,2.0575702084530914,06095,10.344753520979133,10.344753520979133
0609549740,-1.323619603981893,-1.037698620568005,0.32792002292594874,-2.361318224549898,06095,6.458519347579375,6.458519347579375
0609529840,0.978070538302006,0.5499437150670539,0.6040701833740538,1.5280142533690597,06095,-1.884653185462154,-1.884653185462154
0609559550,-0.6371094048247158,-0.17151971195214444,0.4381639654718357,-0.8086291167768602,06095,2.939026313688929,2.939026313688929
0609533042,0.22433206862488853,0.24587988053539767,0.5289641651336368,0.4702119491602862,06095,10.841597952017246,10.841597952017246
0609546320,-0.4006345718228731,-0.4748038230534542,0.433420376958554,-0.8754383948763274,06095,-0.539295031838867,-0.539295031838867
0609542010,-0.8999439871770839,-0.794122133029303,0.37529621838363003,-1.694066120206387,06095,8.035242691117572,8.035242691117572
0609539415,-0.9008020157931859,-0.6623580136675152,0.38459080509440613,-1.563160029460701,06095,-16.45313915557577,-16.45313915557577
0609519400,1.5911786583311478,0.8478297850123194,0.6687525403484134,2.439008443343467,06095,-57.263863419848484,-57.263863419848484
0609546055,-0.4933803215322021,-0.2931670391833168,0.43973181304309245,-0.7865473607155189,06095,-0.5997987269617427,-0.5997987269617427
0609535055,0.5003590088907297,0.1960997091660864,0.5450281251798275,0.6964587180568161,06095,2.9337527587697645,2.9337527587697645
0609553115,0.6709562589149589,0.41166266644409394,0.5724462499636064,1.0826189253590528,06095,0.9943958882940418,0.9943958882940418
0609533045,-0.42366672672382605,-0.06418574824148376,0.4609397301068152,-0.4878524749653098,06095,13.007043737490044,13.007043737490044
0609517180,1.3921309902478418,0.9722931141757247,0.6634569074148498,2.3644241044235663,06095,4.7089334708552695,4.7089334708552695
0609546172,0.29933921201182906,-0.11055103799880481,0.5089825304695798,0.18878817401302425,06095,-8.774360843630983,-8.774360843630983
